"Sample","WGS/WES","Source","Organism","Events","Hyper","Body Site/Study","Status","Type","AEI","REI","ADAR","ADARB1","ADARB2"
"TCGA-02-0047-01A-01R-1849-01","NA","T","Hs","71694","0","TCGA-GBM","tumor","B","1.763","1.122","159.605","1.101","5.663"
"TCGA-02-0055-01A-01R-1849-01","NA","T","Hs","64355","0","TCGA-GBM","tumor","B","1.573","0.641","86.294","0.333","10.655"
"TCGA-02-2483-01A-01R-1849-01","NA","T","Hs","59076","0","TCGA-GBM","tumor","B","1.008","0.455","90.138","0.521","5.005"
"TCGA-02-2485-01A-01R-1849-01","NA","T","Hs","99021","0","TCGA-GBM","tumor","B","1.523","0.748","190.642","5.188","6.159"
"TCGA-02-2486-01A-01R-1849-01","NA","T","Hs","72065","0","TCGA-GBM","tumor","B","1.834","0.659","136.487","0.898","6.034"
"TCGA-04-1331-01A-01R-1569-13","NA","T","Hs","264761","0","TCGA-OV","tumor","B","1.257","0.857","188.436","0.022","5.295"
"TCGA-04-1332-01A-01R-1564-13","NA","T","Hs","119352","0","TCGA-OV","tumor","B","1.587","1.270","163.805","1.471","9.963"
"TCGA-04-1338-01A-01R-1564-13","NA","T","Hs","121208","0","TCGA-OV","tumor","B","1.876","0.787","72.171","0.007","3.825"
"TCGA-04-1341-01A-01R-1564-13","NA","T","Hs","96547","0","TCGA-OV","tumor","B","1.329","0.247","89.050","0.420","1.965"
"TCGA-04-1343-01A-01R-1564-13","NA","T","Hs","154731","0","TCGA-OV","tumor","B","1.336","0.393","74.796","0.560","6.319"
"TCGA-04-1347-01A-01R-1564-13","NA","T","Hs","90874","0","TCGA-OV","tumor","B","1.677","0.257","72.351","1.028","2.551"
"TCGA-04-1350-01A-01R-1565-13","NA","T","Hs","67442","0","TCGA-OV","tumor","B","1.068","0.140","42.818","0.026","1.180"
"TCGA-04-1356-01A-01R-1569-13","NA","T","Hs","205687","0","TCGA-OV","tumor","B","1.263","0.407","124.852","0.234","2.813"
"TCGA-04-1357-01A-01R-1565-13","NA","T","Hs","92804","0","TCGA-OV","tumor","B","1.646","0.475","143.178","0.027","3.699"
"TCGA-04-1361-01A-01R-1565-13","NA","T","Hs","235767","0","TCGA-OV","tumor","B","1.620","0.705","85.308","0.548","6.948"
"TCGA-04-1362-01A-01R-1565-13","NA","T","Hs","209487","0","TCGA-OV","tumor","B","1.290","0.253","126.199","0.044","4.397"
"TCGA-04-1364-01A-01R-1565-13","NA","T","Hs","86435","0","TCGA-OV","tumor","B","1.028","0.225","120.942","0.047","4.816"
"TCGA-04-1365-01A-01R-1565-13","NA","T","Hs","202092","0","TCGA-OV","tumor","B","1.519","0.524","177.431","0.202","2.757"
"TCGA-04-1514-01A-01R-1566-13","NA","T","Hs","202390","0","TCGA-OV","tumor","B","1.289","0.328","243.434","3.196","21.896"
"TCGA-04-1519-01A-01R-1565-13","NA","T","Hs","103349","0","TCGA-OV","tumor","B","1.856","0.424","134.426","1.043","6.536"
"TCGA-04-1530-01A-02R-1569-13","NA","T","Hs","117157","0","TCGA-OV","tumor","B","1.316","0.467","97.933","0.096","3.297"
"TCGA-04-1536-01A-01R-1566-13","NA","T","Hs","84978","0","TCGA-OV","tumor","B","1.743","0.644","115.404","0.000","4.950"
"TCGA-04-1542-01A-01R-1566-13","NA","T","Hs","53877","0","TCGA-OV","tumor","B","1.221","0.397","78.031","2.158","2.466"
