"Sample","WGS/WES","Source","Organism","Events","Hyper","Body Site/Study","Status","Type","AEI","REI","ADAR","ADARB1","ADARB2"
"SRR1068687","SRR8233673","G","Hs","70899","37029","Esophagus - Gastroesophageal Junction","normal","B","1.945","9.837","107.769","110.507","0.661"
"SRR1068788","SRR8233590","G","Hs","38638","18223","Testis","normal","B","1.044","1.176","64.808","8.449","2.666"
"SRR1068808","SRR8233539","G","Hs","43742","10676","Cells - Transformed fibroblasts","normal","B","1.228","0.821","135.680","66.248","0.000"
"SRR1068832","SRR8233604","G","Hs","58585","20656","Artery - Coronary","normal","B","1.331","18.443","70.764","57.324","0.030"
"SRR1068855","SRR8233664","G","Hs","28657","11837","Muscle - Skeletal","normal","B","0.709","1.002","7.915","6.297","0.052"
"SRR1068880","SRR8233487","G","Hs","30701","2483","Cells - Transformed fibroblasts","normal","B","0.701","0.208","91.786","7.394","0.000"
"SRR1068905","SRR8233547","G","Hs","51938","21774","Testis","normal","B","0.949","0.919","52.382","7.730","1.802"
"SRR1068929","SRR8233519","G","Hs","34174","13365","Esophagus - Muscularis","normal","B","1.263","9.100","72.284","170.546","3.106"
"SRR1068953","SRR8233519","G","Hs","27992","4079","Stomach","normal","B","0.929","0.588","56.117","5.826","0.289"
"SRR1068977","SRR8233656","G","Hs","89684","23667","Breast - Mammary Tissue","normal","B","1.475","1.793","102.982","15.387","1.033"
"SRR1068999","SRR8233602","G","Hs","49092","16618","Breast - Mammary Tissue","normal","B","1.289","1.163","56.867","12.577","0.000"
"SRR1069024","SRR8233651","G","Hs","18991","0","Whole Blood","normal","B","0.970","0.627","65.999","0.619","0.000"
"SRR1069048","SRR8233669","G","Hs","39603","12303","Skin - Not Sun Exposed (Suprapubic)","normal","B","1.170","0.518","50.858","16.084","0.533"
"SRR1069074","SRR8233605","G","Hs","89224","39752","Esophagus - Muscularis","normal","B","1.706","7.516","67.362","191.763","0.762"
"SRR1069097","SRR8233672","G","Hs","48331","18153","Adipose - Subcutaneous","normal","B","1.559","1.586","91.703","17.926","0.249"
"SRR1069121","SRR8233600","G","Hs","40327","7839","Cells - Transformed fibroblasts","normal","B","1.175","0.392","192.421","23.211","0.000"
"SRR1069141","SRR8233602","G","Hs","43724","0","Liver","normal","B","1.625","5.743","46.104","7.996","0.087"
"SRR1069166","SRR8233654","G","Hs","64425","0","Stomach","normal","B","1.482","5.843","98.359","88.528","1.813"
"SRR1069188","NA","G","Hs","91267","74935","Brain - Cerebellum","normal","B","2.501","4.222","95.077","59.382","7.696"
"SRR1069209","SRR8233561","G","Hs","138908","43057","Prostate","normal","B","1.774","2.152","78.194","22.452","0.604"
"SRR1069231","SRR8233532","G","Hs","45901","11811","Esophagus - Mucosa","normal","B","1.336","0.790","52.964","6.637","0.177"
"SRR1069255","NA","G","Hs","60154","11986","Esophagus - Mucosa","normal","B","1.366","0.637","49.430","7.210","0.110"
"SRR1069279","SRR8233648","G","Hs","98134","39650","Thyroid","normal","B","1.919","3.731","113.430","16.236","0.192"
"SRR1069303","SRR8233666","G","Hs","134783","26298","Spleen","normal","B","1.444","1.448","129.253","27.498","0.252"
"SRR1069328","SRR8233515","G","Hs","68896","0","Esophagus - Mucosa","normal","B","1.408","0.742","70.160","6.737","0.966"
"SRR1069352","SRR8233521","G","Hs","45035","7525","Pancreas","normal","B","1.018","0.554","56.936","3.810","0.540"
"SRR1069376","SRR8233672","G","Hs","68883","40670","Artery - Aorta","normal","B","1.960","21.537","79.372","86.014","0.034"
"SRR1069400","SRR8233658","G","Hs","66106","12093","Spleen","normal","B","1.169","0.850","111.550","18.685","0.997"
"SRR1069421","SRR8233610","G","Hs","49158","7964","Adrenal Gland","normal","B","1.197","0.954","64.667","5.741","0.169"
"SRR1069445","NA","G","Hs","38032","0","Cells - Transformed fibroblasts","normal","B","1.261","1.071","145.762","30.145","0.014"
"SRR1069466","SRR8233587","G","Hs","57199","24482","Uterus","normal","B","1.596","4.922","117.319","59.528","0.241"
"SRR1069490","SRR8233509","G","Hs","72880","15852","Cells - Transformed fibroblasts","normal","B","1.413","0.576","170.207","36.188","0.000"
"SRR1069514","SRR8233658","G","Hs","69425","19975","Prostate","normal","B","1.589","1.200","95.161","12.184","0.657"
"SRR1069539","SRR8233535","G","Hs","53402","9585","Spleen","normal","B","1.139","1.058","109.854","17.860","0.083"
"SRR1069564","SRR8233585","G","Hs","40228","10640","Cells - Transformed fibroblasts","normal","B","1.274","0.576","173.802","49.121","0.000"
"SRR1069590","SRR8233527","G","Hs","43081","0","Cells - Transformed fibroblasts","normal","B","0.973","0.175","159.535","26.130","0.000"
"SRR1069614","SRR8233618","G","Hs","48975","10999","Cells - Transformed fibroblasts","normal","B","1.210","0.798","174.008","50.207","0.000"
