Comparison,p_adjusted,Significance
GBM_vs_OV,0.002473493503534672,**
GBM_vs_LUAD,5.209611698045828e-58,***
GBM_vs_LUSC,1.713724440130785e-55,***
GBM_vs_PRAD,1.4275410478968127e-69,***
GBM_vs_UCEC,3.1943794300867235e-38,***
GBM_vs_BLCA,1.558137099551146e-54,***
GBM_vs_TGCT,8.28622147382005e-40,***
GBM_vs_ESCA,0.07479764086618465,ns
GBM_vs_PAAD,2.785202415137144e-47,***
GBM_vs_KIRP,2.5190323735966227e-63,***
GBM_vs_LIHC,3.4122994233434343e-15,***
GBM_vs_CESC,5.020953363453982e-60,***
GBM_vs_SARC,4.938819807944546e-39,***
GBM_vs_BRCA,1.1473470828512926e-51,***
GBM_vs_THYM,4.984265836242106e-37,***
GBM_vs_MESO,1.277277425557704e-26,***
GBM_vs_COAD,2.1651105758542084e-62,***
GBM_vs_STAD,1.7052429843727284e-09,***
GBM_vs_CHOL,1.6662453889215952e-09,***
GBM_vs_KIRC,5.5400935103120555e-67,***
GBM_vs_THCA,1.5637044208523594e-41,***
GBM_vs_HNSC,2.35721913658503e-70,***
GBM_vs_READ,4.4262535980004757e-38,***
GBM_vs_SKCM,1.726068521222575e-35,***
GBM_vs_LGG,1.9956995751147936e-62,***
GBM_vs_DLBC,5.207172070688893e-24,***
GBM_vs_KICH,2.104836481621103e-30,***
GBM_vs_UCS,4.7254632128656754e-21,***
GBM_vs_ACC,7.358990874328566e-25,***
GBM_vs_PCPG,1.665964613427095e-24,***
GBM_vs_UVM,2.4777299558938237e-35,***
OV_vs_LUAD,3.3486377643607043e-82,***
OV_vs_LUSC,1.2883382782663776e-78,***
OV_vs_PRAD,7.740521342621101e-108,***
OV_vs_UCEC,5.516317872922838e-43,***
OV_vs_BLCA,3.3207207023437816e-77,***
OV_vs_TGCT,2.227890368904557e-45,***
OV_vs_ESCA,0.9822281201041981,ns
OV_vs_PAAD,1.0877185632108017e-58,***
OV_vs_KIRP,5.589476624309337e-93,***
OV_vs_LIHC,3.779332248493671e-10,***
OV_vs_CESC,1.7727348928015256e-86,***
OV_vs_SARC,8.73398975025845e-46,***
OV_vs_BRCA,6.157939056910473e-70,***
OV_vs_THYM,8.218334564919007e-42,***
OV_vs_MESO,2.2540179733568965e-25,***
OV_vs_COAD,5.319664081707862e-93,***
OV_vs_STAD,2.5159451221934635e-06,***
OV_vs_CHOL,4.2933777756083697e-07,***
OV_vs_KIRC,1.4272946859044141e-98,***
OV_vs_THCA,2.1161860746834348e-48,***
OV_vs_HNSC,8.401321200368634e-112,***
OV_vs_READ,1.9863395849209584e-46,***
OV_vs_SKCM,2.5466442692594476e-41,***
OV_vs_LGG,4.184717230920306e-85,***
OV_vs_DLBC,6.744190496559664e-26,***
OV_vs_KICH,1.2673764026802834e-35,***
OV_vs_UCS,6.980235114100105e-20,***
OV_vs_ACC,2.405380723295815e-26,***
OV_vs_PCPG,2.1991306338269722e-20,***
OV_vs_UVM,7.455735784253565e-43,***
LUAD_vs_LUSC,0.6020755359018992,ns
LUAD_vs_PRAD,3.1733508525762975e-07,***
LUAD_vs_UCEC,0.577696306089498,ns
LUAD_vs_BLCA,2.8515253933682154e-05,***
LUAD_vs_TGCT,0.4530913152605795,ns
LUAD_vs_ESCA,2.844446461852026e-35,***
LUAD_vs_PAAD,0.008270151837297623,**
LUAD_vs_KIRP,2.1530114404986783e-20,***
LUAD_vs_LIHC,3.3244563840630515e-50,***
LUAD_vs_CESC,1.5293749981194215e-13,***
LUAD_vs_SARC,0.00820372590205773,**
LUAD_vs_BRCA,1.9712280048493774e-20,***
LUAD_vs_THYM,0.00039768654186651944,***
LUAD_vs_MESO,0.1795282205393231,ns
LUAD_vs_COAD,8.956964403367896e-37,***
LUAD_vs_STAD,3.6231935889312884e-31,***
LUAD_vs_CHOL,0.002632447616722899,**
