Cancer_type,median,mean,std,count
ACC,0.998,1.067,0.272,79
BLCA,0.998,1.029,0.258,406
BRCA,1.18,1.193,0.205,1097
CESC,0.958,0.973,0.201,304
CHOL,1.217,1.224,0.249,35
COAD,0.882,0.887,0.173,274
DLBC,0.861,0.878,0.204,48
ESCA,1.456,1.496,0.377,159
GBM,1.543,1.551,0.235,156
HNSC,0.95,0.963,0.2,500
KICH,0.811,0.83,0.137,65
KIRC,1.072,1.071,0.174,530
KIRP,0.938,0.948,0.159,288
LGG,1.126,1.135,0.146,512
LIHC,1.364,1.35,0.236,370
LUAD,1.066,1.09,0.213,516
LUSC,1.066,1.086,0.23,501
MESO,1.107,1.119,0.209,86
OV,1.471,1.483,0.264,371
PAAD,1.018,1.037,0.186,177
PCPG,1.263,1.259,0.194,177
PRAD,0.997,1.022,0.163,498
READ,0.815,0.838,0.174,94
SARC,1.108,1.146,0.242,259
SKCM,0.96,0.976,0.227,103
STAD,1.366,1.336,0.406,368
TGCT,1.04,1.071,0.204,150
THCA,1.192,1.215,0.21,501
THYM,0.994,1.013,0.218,119
UCEC,1.075,1.101,0.227,175
UCS,1.083,1.089,0.225,56
UVM,0.836,0.852,0.123,80
