Cancer_type,Tumor_median_AEI,Normal_median_AEI,Direction,p_value,Significance,n_tumor,n_normal
BLCA,0.998,1.65,lower,0.0,***,406,10
BRCA,1.18,1.649,lower,0.0,***,1097,218
COAD,0.882,1.263,lower,0.0,***,274,479
ESCA,1.456,1.434,higher,0.324534,ns,159,788
GBM,1.543,1.883,lower,0.0,***,156,1409
KIRC,1.072,1.194,lower,0.0,***,530,194
LIHC,1.364,1.776,lower,0.0,***,370,136
LUAD,1.066,1.565,lower,0.0,***,516,373
LUSC,1.066,1.565,lower,0.0,***,501,373
OV,1.471,1.598,lower,0.0,***,371,108
PAAD,1.018,0.918,higher,3.5e-05,***,177,196
PRAD,0.997,1.678,lower,0.0,***,498,118
SKCM,0.96,1.624,lower,0.0,***,103,1053
UCEC,1.075,1.756,lower,0.0,***,175,90
