Cancer_type,Pearson_r,p_value,Significance,n
ACC,0.624,0.0,***,79
BLCA,0.535,0.0,***,406
BRCA,0.6,0.0,***,1097
CESC,0.432,0.0,***,304
CHOL,0.8,0.0,***,35
COAD,0.443,0.0,***,274
DLBC,0.415,0.003377,**,48
ESCA,0.177,0.026031,*,159
GBM,0.349,8e-06,***,156
HNSC,0.532,0.0,***,500
KICH,0.389,0.001345,**,65
KIRC,0.325,0.0,***,530
KIRP,0.276,2e-06,***,288
LGG,0.229,0.0,***,512
LIHC,0.467,0.0,***,370
LUAD,0.436,0.0,***,516
LUSC,0.447,0.0,***,501
MESO,0.391,0.0002,***,86
OV,0.269,0.0,***,371
PAAD,0.41,0.0,***,177
PCPG,0.488,0.0,***,177
PRAD,0.264,0.0,***,498
READ,0.295,0.003863,**,94
SARC,0.545,0.0,***,259
SKCM,0.45,2e-06,***,103
STAD,0.143,0.006064,**,368
TGCT,0.623,0.0,***,150
THCA,0.137,0.002162,**,501
THYM,0.663,0.0,***,119
UCEC,0.456,0.0,***,175
UCS,0.588,2e-06,***,56
UVM,0.289,0.009269,**,80
