Cancer_type,Pearson_r,p_value,Significance,n
ACC,0.238,0.035023,*,79
BLCA,0.148,0.002744,**,406
BRCA,-0.039,0.195338,ns,1097
CESC,0.025,0.669201,ns,304
CHOL,-0.241,0.162725,ns,35
COAD,0.198,0.000971,***,274
DLBC,0.227,0.121491,ns,48
ESCA,0.208,0.00842,**,159
GBM,-0.116,0.148647,ns,156
HNSC,0.192,1.5e-05,***,500
KICH,0.388,0.001397,**,65
KIRC,0.023,0.602669,ns,530
KIRP,0.123,0.037297,*,288
LGG,0.149,0.000725,***,512
LIHC,-0.075,0.150091,ns,370
LUAD,-0.056,0.201085,ns,516
LUSC,0.129,0.003891,**,501
MESO,0.194,0.073857,ns,86
OV,-0.075,0.147777,ns,371
PAAD,0.117,0.121567,ns,177
PCPG,0.254,0.000641,***,177
PRAD,0.035,0.437899,ns,498
READ,0.209,0.043527,*,94
SARC,0.138,0.026026,*,259
SKCM,0.281,0.004058,**,103
STAD,0.078,0.136737,ns,368
TGCT,-0.316,8e-05,***,150
THCA,-0.234,0.0,***,501
THYM,0.368,3.9e-05,***,119
UCEC,0.059,0.438853,ns,175
UCS,0.032,0.817598,ns,56
UVM,0.269,0.015914,*,80
