Label,r,p_value,n
ACC,0.623521401227679,8.371598821387538e-10,79
BLCA,0.5346876417487926,2.1290900353408373e-31,406
BRCA,0.6004488897023442,1.932886348481651e-108,1097
CESC,0.43222333772897803,2.872685466312839e-15,304
CHOL,0.7996908492735143,8.289943696686805e-09,35
COAD,0.443475451038116,1.2493473324103842e-14,274
DLBC,0.414769334512778,0.0033771428296576244,48
ESCA,0.1765181273165432,0.02603065477945213,159
GBM,0.3491118251244935,7.943778446945313e-06,156
HNSC,0.5323397642243243,6.177922554437126e-38,500
KICH,0.3894160466191626,0.0013448352709666115,65
KIRC,0.3249027307651411,1.703214247423812e-14,530
KIRP,0.27604309950774153,1.965093416566419e-06,288
LGG,0.2289769714212893,1.6210928469332692e-07,512
LIHC,0.4666742317434036,2.0778531483859013e-21,370
LUAD,0.43611224018675887,2.275445102179698e-25,516
LUSC,0.4466415424797603,6.158694740039436e-26,501
MESO,0.3907384497113998,0.00019957647305638042,86
OV,0.26861297951569557,1.494397528908982e-07,371
PAAD,0.4097889937233501,1.4789410282614008e-08,177
PCPG,0.488197127241223,5.4697143482319336e-12,177
PRAD,0.2643452836170002,2.083229296400324e-09,498
READ,0.2952701380974121,0.003862749342472719,94
SARC,0.5449761956678805,1.9504056183130654e-21,259
SKCM,0.44971101979378775,1.883723258645814e-06,103
STAD,0.14280752322340715,0.006064335711285148,368
TGCT,0.6230701809165209,1.6800616475252665e-17,150
THCA,0.13672375058340686,0.002161738216609133,501
THYM,0.663336877277779,2.0367539449125158e-16,119
UCEC,0.4562911626249564,2.2091869141288294e-10,175
UCS,0.5884035923656067,1.8497835658571114e-06,56
UVM,0.28921701070111766,0.00926862114301594,80
