Samples	0	1	2	3	4
BLCA	102340	0	0	0	0
CESC	79850	0	0	0	0
CHOL	30648	0	0	0	0
COAD	80677	0	0	0	0
DLBC	22945	0	0	0	0
ESCA	491501	0	0	0	0
GBM	165459	0	0	0	0
HNSC	72260	0	0	0	0
KICH	44348	0	0	0	0
KIRC	150833	0	0	0	0
KIRP	121864	0	0	0	0
LAML	185296	0	0	0	0
LGG	250030	0	0	0	0
LIHC	78033	0	0	0	0
LUAD	134553	0	0	0	0
LUSC	109560	0	0	0	0
MESO	55122	0	0	0	0
NPC	299254	0	0	0	0
OV	319539	0	0	0	0
PAAD	55316	0	0	0	0
PCPG	87452	0	0	0	0
PRAD	162734	0	0	0	0
READ	53042	0	0	0	0
SARC	80084	0	0	0	0
SKCM	47612	0	0	0	0
STAD	674899	0	0	0	0
TGCT	88306	0	0	0	0
THCA	113519	0	0	0	0
THYM	82051	0	0	0	0
UCEC	132465	0	0	0	0
UCS	44998	0	0	0	0
UVM	33820	0	0	0	0
