MutationType	0	1	2	3	4
0.00000000	0.00002450	0.00000443	0.00010445	0.00003730	0.00007890
0.00000000	0.00001330	0.00057374	0.00012678	0.00009630	0.00002590
0.00000000	0.00003810	0.00001610	0.00010178	0.00001110	0.00002510
0.00000000	0.00000966	0.00003120	0.00009850	0.00009500	0.00002590
2002.00000000	0.03565504	0.00459517	0.00227828	0.00422816	0.00216004
1325.00000000	0.02043064	0.00155844	0.00752818	0.00498236	0.00390745
3314.00000000	0.20023937	0.00617776	0.04436591	0.02778790	0.00351640
2307.00000000	0.01817687	0.00976437	0.03022218	0.01394191	0.00471430
0.00000000	0.00024968	0.00023707	0.00031311	0.00040306	0.00185338
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00002860	0.00007040	0.00012300	0.00016604	0.00138093
0.00000000	0.00003080	0.00001060	0.00002870	0.00030479	0.00014353
0.00000000	0.00005220	0.00004660	0.00016431	0.00070854	0.00006270
0.00000000	0.00004440	0.00004280	0.00060358	0.00014617	0.00015814
0.00000000	0.00042305	0.00054782	0.00042133	0.00299264	0.00115998
0.00000000	0.00006050	0.00003940	0.00010500	0.00018390	0.00001660
0.00000000	0.00011329	0.00034860	0.00017116	0.00034462	0.00097079
0.00000000	0.00001740	0.00001680	0.00023186	0.00016000	0.00002770
0.00000000	0.00004530	0.00003540	0.00015246	0.00018958	0.00014834
0.00000000	0.00071653	0.00039194	0.00179552	0.00436981	0.00152473
0.00000000	0.00088919	0.00166352	0.00059169	0.00634958	0.00175650
0.00000000	0.00021872	0.00107050	0.00091587	0.00106071	0.00152265
0.00000000	0.00049247	0.00262585	0.00151464	0.02002341	0.00077693
0.00000000	0.00634451	0.00331388	0.00859556	0.00621077	0.00307697
0.00000000	0.00039795	0.00116318	0.00135848	0.00602782	0.00153246
0.00000000	0.00191809	0.00146670	0.00080513	0.03002136	0.00141005
0.00000000	0.00033750	0.00036896	0.00222380	0.01054963	0.00026661
0.00000000	0.00040071	0.00024682	0.00175753	0.00054930	0.00069176
0.00000000	0.00013185	0.00068245	0.00352039	0.00108775	0.00017289
0.00000000	0.00008540	0.00007180	0.00023434	0.00056107	0.00061483
0.00000000	0.00094905	0.00134097	0.00401604	0.00046866	0.00505253
0.00000000	0.00018303	0.00139715	0.00028866	0.00132099	0.00045734
0.00000000	0.00023855	0.00076881	0.00265342	0.00109001	0.15769272
0.00000000	0.00125937	0.00024006	0.00154566	0.00099308	0.12484898
0.00000000	0.00003380	0.00016807	0.00016847	0.00022099	0.00995480
0.00000000	0.00020020	0.00033525	0.00062333	0.00053875	0.05456200
0.00000000	0.00003460	0.00025208	0.00024297	0.00015017	0.00053181
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00004440	0.00122717	0.00005450	0.00028313	0.00013884
0.00000000	0.00006750	0.00002120	0.00016347	0.00009950	0.00004240
0.00000000	0.00045063	0.00020137	0.00033525	0.00712663	0.00141706
0.00000000	0.00349237	0.00415305	0.02914487	0.00158972	0.00218961
0.00000000	0.00241868	0.00542025	0.01258778	0.02103479	0.00311178
0.00000000	0.00031436	0.00052960	0.00031595	0.00546192	0.00113643
0.00000000	0.00004360	0.00023952	0.00012825	0.00036861	0.00004420
0.00000000	0.00000867	0.00009390	0.00000678	0.00010754	0.00018998
0.00000000	0.00368731	0.00346175	0.00447466	0.01418870	0.00214630
0.00000000	0.00440121	0.00320736	0.00834133	0.01105456	0.00427851
0.00000000	0.00008710	0.00102215	0.00019004	0.00060496	0.00051312
