Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
BLCA	102340.0	0.853	73069.533	71.399%	19317.188	63.133%	0.61213	0.846
CESC	79850.0	0.846	57815.528	72.405%	15398.928	64.993%	0.63448	0.839
CHOL	30648.0	0.862	21391.975	69.799%	5622.563	61.122%	0.58938	0.856
COAD	80677.0	0.867	56370.948	69.872%	14595.38	61.146%	0.59204	0.861
DLBC	22945.0	0.869	15811.758	68.912%	4111.328	59.313%	0.57054	0.863
ESCA	491501.0	0.863	341560.914	69.493%	89911.768	60.219%	0.57149	0.856
GBM	165459.0	0.86	116131.534	70.187%	30582.623	61.217%	0.58996	0.853
HNSC	72260.0	0.835	53716.299	74.338%	14372.496	67.729%	0.66339	0.828
KICH	44348.0	0.869	30548.079	68.883%	7949.101	59.417%	0.57247	0.863
KIRC	150833.0	0.848	108568.965	71.98%	28909.737	64.095%	0.62201	0.841
KIRP	121864.0	0.858	85937.267	70.519%	22641.738	61.786%	0.59419	0.852
LAML	185296.0	0.899	118163.385	63.77%	29458.649	51.924%	0.5019	0.895
LGG	250030.0	0.815	193775.171	77.501%	52364.181	71.122%	0.70301	0.806
LIHC	78033.0	0.824	58933.305	75.524%	15967.784	69.917%	0.68254	0.816
LUAD	134553.0	0.86	93724.697	69.656%	24872.966	61.946%	0.59429	0.854
LUSC	109560.0	0.847	79172.669	72.264%	21081.457	64.588%	0.62965	0.84
MESO	55122.0	0.855	39398.806	71.476%	10350.408	63.092%	0.60365	0.848
NPC	299254.0	0.873	203130.721	67.879%	52877.224	57.849%	0.55942	0.867
OV	319539.0	0.834	238679.713	74.695%	63625.447	66.505%	0.63767	0.827
PAAD	55316.0	0.848	39818.751	71.984%	10598.335	64.287%	0.63107	0.841
PCPG	87452.0	0.857	61627.749	70.47%	16325.555	62.172%	0.59627	0.85
PRAD	162734.0	0.848	117682.252	72.316%	31205.099	64.15%	0.61212	0.841
READ	53042.0	0.858	37822.629	71.307%	9875.805	62.678%	0.6102	0.851
SARC	80084.0	0.844	58325.774	72.831%	15543.773	65.049%	0.62503	0.837
SKCM	47612.0	0.854	33832.909	71.06%	8959.376	63.1%	0.61064	0.848
STAD	674899.0	0.851	485518.659	71.939%	128147.345	62.902%	0.60383	0.844
TGCT	88306.0	0.854	63409.25	71.806%	16611.156	63.242%	0.61275	0.848
THCA	113519.0	0.83	85277.107	75.121%	22885.833	68.121%	0.66531	0.822
THYM	82051.0	0.857	58137.224	70.855%	15285.513	62.254%	0.59222	0.851
UCEC	132465.0	0.85	95672.971	72.225%	25270.121	63.992%	0.61421	0.843
UCS	44998.0	0.864	31354.259	69.679%	8208.658	60.504%	0.57662	0.858
UVM	33820.0	0.859	23880.694	70.611%	6267.648	61.608%	0.58166	0.852
