Cancer_type,n_total,n_low_AEI,n_high_AEI,events_low_AEI,events_high_AEI,median_AEI_cutoff,median_survival_low_AEI,median_survival_high_AEI,logrank_p_value,Significance,Status
ACC,79.0,39.0,40.0,14.0,14.0,0.998,inf,2405.0,0.530847,ns,
BLCA,426.0,213.0,213.0,95.0,99.0,1.004,949.0,1004.0,0.778009,ns,
CESC,296.0,148.0,148.0,43.0,31.0,0.958,3046.0,inf,0.091781,ns,
CHOL,43.0,21.0,22.0,11.0,12.0,1.225,1402.0,701.0,0.373167,ns,
COAD,305.0,152.0,153.0,33.0,36.0,0.871,inf,2821.0,0.803535,ns,
DLBC,47.0,23.0,24.0,4.0,5.0,0.854,6425.0,inf,0.852559,ns,
ESCA,174.0,87.0,87.0,33.0,32.0,1.443,1402.0,784.0,0.655445,ns,
GBM,162.0,81.0,81.0,62.0,70.0,1.523,362.0,427.0,0.536395,ns,
HNSC,574.0,287.0,287.0,108.0,159.0,0.959,1972.0,1037.0,0.000483,***,
KICH,87.0,43.0,44.0,4.0,8.0,0.812,inf,inf,0.137368,ns,
KIRC,930.0,465.0,465.0,149.0,178.0,1.072,2564.0,2419.0,0.114729,ns,
KIRP,345.0,170.0,175.0,19.0,40.0,0.945,inf,2941.0,0.031725,*,
LAML,,,,,,,,,,,insufficient_samples
LGG,525.0,262.0,263.0,78.0,59.0,1.128,2286.0,2988.0,0.416932,ns,
LIHC,424.0,212.0,212.0,84.0,87.0,1.366,1622.0,1560.0,0.730799,ns,
LUAD,634.0,316.0,318.0,106.0,135.0,1.07,1600.0,1081.0,0.000406,***,
LUSC,617.0,308.0,309.0,139.0,138.0,1.072,1713.0,1640.0,0.871498,ns,
MESO,84.0,42.0,42.0,36.0,36.0,1.107,630.0,527.0,0.721859,ns,
OV,378.0,189.0,189.0,126.0,108.0,1.468,1364.0,1355.0,0.280608,ns,
PAAD,181.0,90.0,91.0,47.0,47.0,1.025,634.0,532.0,0.713161,ns,
PCPG,184.0,92.0,92.0,1.0,7.0,1.269,inf,3563.0,0.017777,*,
PRAD,567.0,282.0,285.0,6.0,6.0,0.991,inf,inf,0.625853,ns,
READ,97.0,48.0,49.0,8.0,13.0,0.811,1741.0,1432.0,0.187673,ns,
SARC,267.0,133.0,134.0,49.0,52.0,1.108,1991.0,2324.0,0.870725,ns,
SKCM,100.0,50.0,50.0,17.0,13.0,0.962,877.0,857.0,0.625825,ns,
STAD,389.0,194.0,195.0,90.0,71.0,1.382,675.0,1686.0,0.01454,*,
TGCT,139.0,69.0,70.0,3.0,1.0,1.08,inf,inf,0.451107,ns,
THCA,571.0,283.0,288.0,12.0,8.0,1.192,inf,inf,0.187995,ns,
THYM,120.0,60.0,60.0,1.0,8.0,0.988,inf,inf,0.018202,*,
UCEC,182.0,90.0,92.0,20.0,15.0,1.085,3112.0,3349.0,0.533503,ns,
UCS,54.0,27.0,27.0,18.0,15.0,1.079,597.0,949.0,0.469239,ns,
UVM,80.0,40.0,40.0,9.0,14.0,0.836,inf,1269.0,0.025713,*,
